 All-Transactions House Price Index for New York ,
Row Labels,Sum of NYSTHPI_20220222
2019,2795.56
Qtr1,683.57
Qtr2,694.65
Qtr3,704.93
Qtr4,712.41
2020,2933.59
Qtr1,719.08
Qtr2,724.91
Qtr3,736.83
Qtr4,752.77
2021,3265.24
Qtr1,770.8
Qtr2,797.68
Qtr3,838.79
Qtr4,857.97
Grand Total,8994.39
