RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020
"Knoxville, TN",Msa,TN,197729,199297,201086,202542,203880,204886,206077,207448,209618,212152,215111,218102
"Greenville, SC",Msa,SC,210923,211501,212133,212984,213953,214808,215758,217262,219399,221479,223753,225793
"Ventura, CA",Msa,CA,625410,626353,625614,625047,626852,627296,630482,635001,645410,653075,660255,665233
"Allentown, PA",Msa,PA,214125,215018,216242,217226,217976,218990,220437,222851,225815,229159,232857,236828
"El Paso, TX",Msa,TX,137843,138807,139266,139489,139599,140029,140879,141848,143625,145740,147795,149554
"Baton Rouge, LA",Msa,LA,189820,191021,192418,193620,193856,193543,193285,193491,193798,194074,195450,196596
"Dayton, OH",Msa,OH,137177,138023,139444,141021,142111,143098,144128,145536,147145,148810,150801,152541
"McAllen, TX",Msa,TX,120950,122111,123017,123654,124102,124604,125348,126364,127604,128964,130497,131808
"Columbia, SC",Msa,SC,163546,164084,164769,165222,165975,166784,167993,169052,170308,171757,173106,174381
"Greensboro, NC",Msa,NC,156363,157373,158911,160501,162122,163190,163762,164880,166416,168710,170926,172941
"Akron, OH",Msa,OH,153619,154840,156376,157551,158405,158822,159801,161132,162401,164114,166048,167641
"North Port-Sarasota-Bradenton, FL",Msa,FL,282668,283061,284654,286226,288567,289318,288941,290005,293271,297742,301058,303835
"Little Rock, AR",Msa,AR,151894,151833,152196,152879,153694,154343,155232,156314,157446,158634,159779,160927
"Stockton, CA",Msa,CA,378873,381861,384059,387584,388140,386385,388312,391338,399246,404902,412312,419435
"Charleston, SC",Msa,SC,280749,281857,282564,283220,283933,285169,286698,288605,290953,293725,296541,299439
"Syracuse, NY",Msa,NY,145998,146644,147944,149403,150533,151484,152909,154122,155946,157559,159531,161216
"Colorado Springs, CO",Msa,CO,324747,327526,330793,333851,336226,338096,340247,343433,347360,352091,358627,364508
"Winston-Salem, NC",Msa,NC,161134,161832,162340,163011,164104,165277,166741,168031,169584,171306,173159,175497
"Wichita, KS",Msa,KS,144418,145133,146097,146945,147912,148727,149612,150357,151610,153272,155548,157569
"Springfield, MA",Msa,MA,236902,238615,239541,240626,241514,243137,245095,247193,249625,252111,255378,259077
"Fort Myers, FL",Msa,FL,242533,243071,244284,245302,247186,248011,249064,250552,252619,254201,255911,257989
"Boise City, ID",Msa,ID,317326,320858,324242,327289,328961,331550,334289,339249,345218,354378,365581,378716
"Toledo, OH",Msa,OH,124848,125625,126655,127895,128662,129460,130618,132283,133912,135072,135855,136047
"Madison, WI",Msa,WI,286684,288654,290803,292815,293557,294222,294999,297038,299671,302239,305458,307616
