Row Labels,Sum of 1/31/2019,Sum of 12/31/2019,Sum of 1/31/2020,Sum of 12/31/2020,Sum of 1/31/2021,Sum of 12/31/2021,Sum of 1/31/2022
"Austin, TX",328675,338663,340922,381134,386839,550972,563908
"Los Angeles-Long Beach-Anaheim, CA",668258,676981,679968,738882,744037,871123,881946
"New York, NY",476721,479314,480342,511713,516552,575832,579787
Grand Total,1473654,1494958,1501232,1631729,1647428,1997927,2025641
