City,Average Housing Cost,,,,,,,,,,,
,Sum of 1/31/2020,Sum of 2/29/2020,Sum of 3/31/2020,Sum of 4/30/2020,Sum of 5/31/2020,Sum of 6/30/2020,Sum of 7/31/2020,Sum of 8/31/2020,Sum of 9/30/2020,Sum of 10/31/2020,Sum of 11/30/2020,Sum of 12/31/2020
"Austin, TX",340922,342701,345047,347694,350344,351941,353977,357367,362765,368482,375206,381134
"Los Angeles-Long Beach-Anaheim, CA",679968,686088,693077,698219,696302,693391,695139,704346,715001,725003,732522,738882
"New York, NY",480342,481818,483234,484724,485533,486089,487304,489890,494391,499872,505894,511713
Grand Total,1501232,1510607,1521358,1530637,1532179,1531421,1536420,1551603,1572157,1593357,1613622,1631729
