RegionName,RegionType,StateName,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
United States,Country,,272839,276210,279883,283760,288488,294041,299950,305369,310014,314128,318031,322383
"New York, NY",Msa,NY,516552,521290,525654,530394,535904,543069,550998,558592,564494,569042,572596,575832
"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,744037,751555,759456,770543,786270,806153,827135,840632,849778,854556,861788,871123
"Chicago, IL",Msa,IL,258600,260927,263043,266090,268847,272673,276846,280969,284047,286712,289412,292137
"Dallas-Fort Worth, TX",Msa,TX,279002,282399,286442,291999,298451,305817,313669,321613,328844,334957,340454,346364
"Philadelphia, PA",Msa,PA,277221,280335,283431,286753,291099,295927,300453,304071,306932,309383,311862,314140
"Houston, TX",Msa,TX,237334,239960,241860,244315,247482,252742,258548,264549,269418,273709,276871,280286
"Washington, DC",Msa,DC,477403,482237,488062,494894,502106,508883,513934,517542,520002,522883,525800,529214
"Miami-Fort Lauderdale, FL",Msa,FL,327627,330673,334541,338218,343963,350243,357678,365154,373342,381592,389310,396613
"Atlanta, GA",Msa,GA,269573,273508,277497,282294,287725,294519,301900,309346,316421,323848,331401,339230
"Boston, MA",Msa,MA,543343,549525,554781,560907,568153,578162,588063,596008,601018,605586,609907,614740
"San Francisco, CA",Msa,CA,1191896,1201345,1216773,1237810,1266647,1299998,1333964,1354973,1367338,1371845,1381725,1392934
"Detroit, MI",Msa,MI,198630,201039,203235,205414,208217,211860,215641,218909,221113,223212,224248,225912
"Riverside, CA",Msa,CA,429844,436296,443476,452823,464464,477590,492666,506481,518229,525266,529765,534726
"Phoenix, AZ",Msa,AZ,333108,339412,348019,354804,366666,378071,391132,401410,409616,417322,423501,429595
"Seattle, WA",Msa,WA,601547,609007,618189,628602,640771,658565,674406,687910,696298,703967,715039,726690
"Minneapolis-St Paul, MN",Msa,MN,322607,325534,328808,331164,335093,339794,345593,349651,352432,354165,356353,359324
"San Diego, CA",Msa,CA,687434,695876,706191,720335,741494,765864,789895,804648,814441,819215,826807,838226
"St. Louis, MO",Msa,MO,199837,201664,203998,206563,209959,213667,217258,219617,220906,221835,223466,225698
"Tampa, FL",Msa,FL,256744,260844,265154,269493,274741,282596,291769,300782,308464,314907,321646,327229
"Baltimore, MD",Msa,MD,321521,324851,328182,332127,335609,339706,343886,347376,349590,351190,353546,355842
"Denver, CO",Msa,CO,489871,496708,504373,513060,524740,538119,551950,561982,569229,575460,583093,592378
"Pittsburgh, PA",Msa,PA,179882,181312,182969,184803,189097,193221,196595,198345,199314,200220,200895,202373
"Portland, OR",Msa,OR,465250,470229,477408,485768,494868,504758,515135,523709,529971,534275,538904,543805
"Charlotte, NC",Msa,NC,271275,275411,279786,284292,289947,297206,305146,313074,320384,326748,333320,339437
"Sacramento, CA",Msa,CA,481541,488795,495362,504628,514666,527812,543284,557208,568112,571972,574965,578618
"San Antonio, TX",Msa,TX,252289,255127,258077,261999,266819,273338,279535,285947,290562,295263,299653,305037
"Orlando, FL",Msa,FL,278064,279938,282474,285282,289597,295777,303564,311350,318800,325415,333187,340091
