City, Average Housing Cost   ,,,,,,,,,,,
,Sum of 1/31/2019,Sum of 2/28/2019,Sum of 3/31/2019,Sum of 4/30/2019,Sum of 5/31/2019,Sum of 6/30/2019,Sum of 7/31/2019,Sum of 8/31/2019,Sum of 9/30/2019,Sum of 10/31/2019,Sum of 11/30/2019,Sum of 12/31/2019
"Austin, TX",328675,331510,333208,334118,334455,335130,335793,336666,338259,338243,338443,338663
"Los Angeles-Long Beach-Anaheim, CA",668258,666101,664753,664321,665292,666314,665375,666103,668826,673144,675164,676981
"New York, NY",476721,477597,478493,479494,480179,480376,480345,480072,479608,479071,478777,479314
Grand Total,1473654,1475208,1476454,1477933,1479926,1481820,1481513,1482841,1486693,1490458,1492384,1494958
