RegionName,RegionType,StateName,1/31/2022,2/28/2022,3/31/2022
"Georgetown, SC",Msa,SC,320792,325435,331368
"Laconia, NH",Msa,NH,400624,406009,410501
"Batavia, NY",Msa,NY,170193,172177,174483
"Oxford, NC",Msa,NC,244320,250298,253321
"Columbus, MS",Msa,MS,139865,143083,144478
"Norwalk, OH",Msa,OH,150391,152687,153372
"Barre, VT",Msa,VT,307007,313414,320409
"Kinston, NC",Msa,NC,115636,119093,120540
"Sterling, IL",Msa,IL,114064,115406,116088
"Palestine, TX",Msa,TX,136146,139772,140941
"Dublin, GA",Msa,GA,130990,134941,136587
"Vicksburg, MS",Msa,MS,148883,151886,152959
"Point Pleasant, WV",Msa,WV,113114,115241,115757
"Sanford, NC",Msa,NC,192472,200795,206946
"Fergus Falls, MN",Msa,MN,292721,295135,294520
"Tiffin, OH",Msa,OH,135934,137747,138097
"Fairmont, WV",Msa,WV,127196,130127,131228
"Crossville, TN",Msa,TN,257427,265340,269678
"Picayune, MS",Msa,MS,167513,171129,172863
"Gloversville, NY",Msa,NY,159913,162093,163904
"Sonora, CA",Msa,CA,391840,401449,409348
"Gaffney, SC",Msa,SC,109191,111279,111970
"Carson City, NV",Msa,NV,486474,492648,498945
"Calhoun, GA",Msa,GA,185198,191166,193991
"Milledgeville, GA",Msa,GA,165696,170652,172746
"Waycross, GA",Msa,GA,121802,125326,126883
"Oil City, PA",Msa,PA,102759,104155,104243
"Jasper, IN",Msa,IN,189868,193087,194089
"Morgan City, LA",Msa,LA,132661,134529,135476
"Eagle Pass, TX",Msa,TX,170111,174074,175680
"Ontario, OR",Msa,OR,273235,279121,280131
"Payson, AZ",Msa,AZ,349946,361497,373992
"McComb, MS",Msa,MS,119126,121654,122568
"Rochelle, IL",Msa,IL,169752,170808,173105
"Scottsboro, AL",Msa,AL,134836,138316,139553
"Danville, KY",Msa,KY,145768,148382,149342
"Ashland, OH",Msa,OH,176169,178780,179417
"Natchez, MS",Msa,MS,108920,110634,111646
"Greenville, OH",Msa,OH,171132,173603,174202
"Galesburg, IL",Msa,IL,87921,89049,89591
"Warrensburg, MO",Msa,MO,225768,228130,232027
"Kearney, NE",Msa,NE,247314,250664,251163
"Fort Polk South, LA",Msa,LA,160535,162691,163704
"Fort Leonard Wood, MO",Msa,MO,177266,179769,180843
"Glasgow, KY",Msa,KY,144599,147340,148762
"Athens, TN",Msa,TN,173432,177199,181088
"Edwards, CO",Msa,CO,1048127,1084820,1120559
"Fernley, NV",Msa,NV,404770,410964,415827
"Mason City, IA",Msa,IA,140843,142623,143056
"Malone, NY",Msa,NY,134619,136756,136944
"Winona, MN",Msa,MN,218489,219256,220598
"Durango, CO",Msa,CO,604851,616898,631450
"Platteville, WI",Msa,WI,165474,167537,167647
"Boone, NC",Msa,NC,429934,436986,444302
"Bartlesville, OK",Msa,OK,148892,150953,153378
"Jacksonville, TX",Msa,TX,164654,168215,169253
"Elko, NV",Msa,NV,338377,347526,351945
"Rexburg, ID",Msa,ID,385984,396929,399491
"St. Marys, GA",Msa,GA,230504,235215,239066
"Ozark, AL",Msa,AL,115639,118617,119800
"Amsterdam, NY",Msa,NY,142555,145013,145184
"Enterprise, AL",Msa,AL,158074,160101,160781
"Paris, TX",Msa,TX,147178,151142,152593
"Kerrville, TX",Msa,TX,319961,317057,322761
"New Castle, IN",Msa,IN,123696,125600,126076
"Sidney, OH",Msa,OH,191970,194673,195186
"Cortland, NY",Msa,NY,155398,157819,157978
"Clinton, IA",Msa,IA,150532,151824,156430
"Del Rio, TX",Msa,TX,153979,157655,158763
"Clovis, NM",Msa,NM,182960,187636,188719
"Norfolk, NE",Msa,NE,195862,198536,199103
"Washington, NC",Msa,NC,179841,185294,187183
"Corsicana, TX",Msa,TX,143078,146445,147952
"Freeport, IL",Msa,IL,105564,106627,107250
"Starkville, MS",Msa,MS,201925,206469,208473
"Burlington, IA",Msa,IA,117039,118554,119055
"Cadillac, MI",Msa,MI,154924,156489,156484
"Ardmore, OK",Msa,OK,109772,112151,112848
"Kendallville, IN",Msa,IN,177798,180946,182382
"Nogales, AZ",Msa,AZ,231418,237701,238737
"Oxford, MS",Msa,MS,224166,229360,231630
"Bogalusa, LA",Msa,LA,120851,122540,123332
"Plymouth, IN",Msa,IN,193635,196693,198110
"Gardnerville Ranchos, NV",Msa,NV,693074,704887,716249
"Tahlequah, OK",Msa,OK,139638,142948,144378
"Madisonville, KY",Msa,KY,108072,110017,110549
"Ca?ñon City, CO",Msa,CO,314606,313272,316037
"Ruston, LA",Msa,LA,176601,179032,180157
"Hillsdale, MI",Msa,MI,175344,176948,176734
"Lewistown, PA",Msa,PA,132912,134891,134947
"Rockingham, NC",Msa,NC,92944,95642,96605
"Ponca City, OK",Msa,OK,76575,78236,78202
"Blytheville, AR",Msa,AR,103669,104978,105403
"Red Wing, MN",Msa,MN,297694,298986,301829
"Shawano, WI",Msa,WI,192871,195084,195117
"Cedar City, UT",Msa,UT,355803,362010,363643
"Bedford, IN",Msa,IN,146570,149513,150833
"Gillette, WY",Msa,WY,299761,305732,307373
"Newport, OR",Msa,OR,460080,466542,471745
"Wapakoneta, OH",Msa,OH,185858,188575,189084
"Huntingdon, PA",Msa,PA,156402,158625,158601
"Bellefontaine, OH",Msa,OH,180729,183407,183990
"McAlester, OK",Msa,OK,105386,107742,107273
"Blackfoot, ID",Msa,ID,319921,328279,329415
"Moultrie, GA",Msa,GA,117877,121299,122635
"Henderson, NC",Msa,NC,117744,119692,121722
"Coldwater, MI",Msa,MI,155011,156342,156035
"Harrison, AR",Msa,AR,149681,153416,155087
"Rolla, MO",Msa,MO,175810,178681,180155
"Shelbyville, TN",Msa,TN,251929,260373,266131
"Duncan, OK",Msa,OK,102128,104179,104692
"Marion, NC",Msa,NC,171170,174685,175319
"Lewisburg, PA",Msa,PA,228446,231824,232252
"Pullman, WA",Msa,WA,362203,365749,366745
"Thomasville, GA",Msa,GA,173736,178725,180666
"Bemidji, MN",Msa,MN,217426,219272,218908
"Mount Sterling, KY",Msa,KY,136630,139323,140422
"Ottumwa, IA",Msa,IA,100462,101894,102281
"Pahrump, NV",Msa,NV,345781,355486,364696
"Menomonie, WI",Msa,WI,216542,219229,219519
"Selma, AL",Msa,AL,66571,67987,68338
"Rock Springs, WY",Msa,WY,273809,280425,282435
"Bucyrus, OH",Msa,OH,107266,108878,109315
"Bradford, PA",Msa,PA,83591,85061,85091
"Bardstown, KY",Msa,KY,215734,217115,219196
"Cornelia, GA",Msa,GA,209928,215855,218334
"Burley, ID",Msa,ID,264497,271779,273421
"Greenwood, MS",Msa,MS,95447,95097,95215
"Big Rapids, MI",Msa,MI,167245,168743,168397
"Poplar Bluff, MO",Msa,MO,131901,133800,134679
"Muscatine, IA",Msa,IA,159480,161723,162226
"Alma, MI",Msa,MI,118697,119773,119679
"Durant, OK",Msa,OK,144617,148100,149171
"Seymour, IN",Msa,IN,174683,177383,178463
"Douglas, GA",Msa,GA,134723,138749,140266
"Willmar, MN",Msa,MN,224217,226118,225875
"Auburn, IN",Msa,IN,190544,193707,196845
"Sedalia, MO",Msa,MO,129870,131515,132357
"Paragould, AR",Msa,AR,137949,141925,143693
"Wilmington, OH",Msa,OH,174906,177604,178293
"Lawrenceburg, TN",Msa,TN,144017,145595,148135
"Warren, PA",Msa,PA,107808,108919,108928
"El Dorado, AR",Msa,AR,96020,98688,100021
"Mountain Home, AR",Msa,AR,166654,171212,173426
"Cedartown, GA",Msa,GA,144381,149297,151431
"Port Clinton, OH",Msa,OH,215782,218770,219457
"El Campo, TX",Msa,TX,179730,184081,185393
"Montrose, CO",Msa,CO,378300,386008,391023
"Ellensburg, WA",Msa,WA,506570,514622,524478
"Jacksonville, IL",Msa,IL,107259,108548,109158
"Sandpoint, ID",Msa,ID,523478,538787,542480
"Alice, TX",Msa,TX,116797,119515,119976
"Celina, OH",Msa,OH,201224,204025,204747
"Garden City, KS",Msa,KS,202778,204503,204468
"Marshalltown, IA",Msa,IA,127559,129225,129558
"Aberdeen, SD",Msa,SD,202225,206748,208752
"West Plains, MO",Msa,MO,154761,157166,158313
"Cullowhee, NC",Msa,NC,350357,348194,343497
"Espa?ñola, NM",Msa,NM,215070,220260,220076
"Riverton, WY",Msa,WY,261273,267533,269449
"Tifton, GA",Msa,GA,167164,171814,173509
"Urbana, OH",Msa,OH,178748,181433,182050
"Cambridge, OH",Msa,OH,132830,134797,135246
"Okeechobee, FL",Msa,FL,181288,185120,187733
"McMinnville, TN",Msa,TN,156351,162075,165911
"Selinsgrove, PA",Msa,PA,207569,210788,211382
"Natchitoches, LA",Msa,LA,187728,189958,190887
"Berlin, NH",Msa,NH,161238,163930,164980
"Lock Haven, PA",Msa,PA,171444,173865,174042
"Sikeston, MO",Msa,MO,128265,130146,131080
"Austin, MN",Msa,MN,167575,169395,170830
"Clewiston, FL",Msa,FL,179713,186038,188733
"Pittsburg, KS",Msa,KS,97608,97691,97472
"Defiance, OH",Msa,OH,151845,153946,154346
"Scottsbluff, NE",Msa,NE,165134,167190,167401
"Logansport, IN",Msa,IN,108956,110505,111389
"Pontiac, IL",Msa,IL,118541,119917,120615
"Hannibal, MO",Msa,MO,150179,152698,153940
"Mount Vernon, IL",Msa,IL,116130,117497,118349
"Houghton, MI",Msa,MI,157458,158636,158129
"Union City, TN",Msa,TN,101222,104283,105536
"Sault Ste. Marie, MI",Msa,MI,146002,147410,147194
"Vincennes, IN",Msa,IN,114440,115989,116769
"Gainesville, TX",Msa,TX,238661,246154,249677
"Dyersburg, TN",Msa,TN,119939,123953,125319
"Kill Devil Hills, NC",Msa,NC,501586,512605,527583
"Crawfordsville, IN",Msa,IN,168219,171151,172233
"Brownwood, TX",Msa,TX,144653,148491,149852
"Stephenville, TX",Msa,TX,213562,219197,221203
"Americus, GA",Msa,GA,104695,107380,108359
"Easton, MD",Msa,MD,411933,419057,423180
"North Platte, NE",Msa,NE,181119,183539,183807
"Newberry, SC",Msa,SC,167878,172534,173950
"Ada, OK",Msa,OK,125045,127812,128709
"Moscow, ID",Msa,ID,433685,444879,445988
"Safford, AZ",Msa,AZ,248957,255391,256285
"Murray, KY",Msa,KY,160324,163046,163830
"Bennington, VT",Msa,VT,293223,299593,300400
"Huntington, IN",Msa,IN,149555,152202,153318
"Mayfield, KY",Msa,KY,116854,119025,119698
"Escanaba, MI",Msa,MI,133427,134606,134613
"Canton, IL",Msa,IL,83635,84611,85127
"Corinth, MS",Msa,MS,118516,121431,122369
"Astoria, OR",Msa,OR,480073,484787,491648
"Peru, IN",Msa,IN,110363,111967,112822
"Coshocton, OH",Msa,OH,141492,143516,144001
"Newton, IA",Msa,IA,151986,154233,155057
"Logan, WV",Msa,WV,98700,100504,102058
"Bay City, TX",Msa,TX,188064,193285,195733
"Fremont, NE",Msa,NE,181069,183739,184181
"Hutchinson, MN",Msa,MN,247054,251426,255216
"Batesville, AR",Msa,AR,116816,120118,121639
"Owatonna, MN",Msa,MN,238872,241866,244519
"Vidalia, GA",Msa,GA,136039,139887,141425
"Summit Park, UT",Msa,UT,1220056,1267268,1316498
"Arkansas City-Winfield, KS",Msa,KS,97933,98563,98490
"Laramie, WY",Msa,WY,300340,307516,309856
"Plainview, TX",Msa,TX,92495,94602,95132
"Big Spring, TX",Msa,TX,161388,161892,162613
"Laurinburg, NC",Msa,NC,95597,98381,99292
"Dixon, IL",Msa,IL,117911,119402,120000
"Alexandria, MN",Msa,MN,296950,300303,302498
"Newport, TN",Msa,TN,141154,146175,148533
"DeRidder, LA",Msa,LA,127547,129381,129912
"Lebanon, MO",Msa,MO,157368,159988,161237
"Coffeyville, KS",Msa,KS,69230,69122,69241
"Seneca Falls, NY",Msa,NY,149968,152440,152564
"Sulphur Springs, TX",Msa,TX,165795,167419,168266
"Martin, TN",Msa,TN,118335,122290,123924
"Susanville, CA",Msa,CA,224150,227121,228707
"Brookhaven, MS",Msa,MS,139264,142474,143419
"Arcadia, FL",Msa,FL,181813,186603,189641
"Taylorville, IL",Msa,IL,96608,97630,97994
"Decatur, IN",Msa,IN,181690,184968,186188
"Junction City, KS",Msa,KS,171948,172989,172873
"Effingham, IL",Msa,IL,174484,176606,177674
"Valley, AL",Msa,AL,86445,88464,89030
"Butte, MT",Msa,MT,196703,203561,206397
"Angola, IN",Msa,IN,224089,228090,229615
"Dodge City, KS",Msa,KS,139816,140282,140018
"Brenham, TX",Msa,TX,291833,299386,302174
"Emporia, KS",Msa,KS,132710,133564,133540
"Jackson, OH",Msa,OH,101911,103292,103516
"Frankfort, IN",Msa,IN,144713,147264,148390
"Brevard, NC",Msa,NC,323132,332947,337612
"Taos, NM",Msa,NM,345523,352645,353533
"Malvern, AR",Msa,AR,118124,121669,123332
"Troy, AL",Msa,AL,140378,143466,144527
"Wabash, IN",Msa,IN,140340,142590,143616
"Cambridge, MD",Msa,MD,187313,188460,188680
"Macomb, IL",Msa,IL,84972,85773,86099
"Vernal, UT",Msa,UT,291149,294876,294044
"Kingsville, TX",Msa,TX,122946,125597,126541
"Madison, IN",Msa,IN,168680,171971,173450
"Mount Pleasant, TX",Msa,TX,163757,168670,170823
"Paris, TN",Msa,TN,146499,151332,153376
"Columbus, NE",Msa,NE,219299,222632,223035
"Brookings, SD",Msa,SD,241092,246912,249475
"Kennett, MO",Msa,MO,86310,87672,88235
"Beeville, TX",Msa,TX,151923,155512,156613
"Miami, OK",Msa,OK,89711,91612,92154
"Dayton, TN",Msa,TN,187307,193993,196931
"Washington, IN",Msa,IN,175444,178258,179588
"Camden, AR",Msa,AR,66364,68163,69133
"Jackson, WY",Msa,WY,918364,942791,951001
"Hastings, NE",Msa,NE,164874,167122,167333
"Juneau, AK",Msa,AK,451281,456928,457142
"Albert Lea, MN",Msa,MN,148164,149589,149498
"Lewisburg, TN",Msa,TN,251789,258616,262074
"Iron Mountain, MI",Msa,MI,143555,144702,144496
"Lincoln, IL",Msa,IL,109496,110780,111516
"Jesup, GA",Msa,GA,151879,156323,158264
"Kirksville, MO",Msa,MO,145518,147824,148826
"Alpena, MI",Msa,MI,127869,129167,129088
"Silver City, NM",Msa,NM,162934,167272,168073
"Indianola, MS",Msa,MS,76609,77776,78332
"Elkins, WV",Msa,WV,106066,108476,109386
"Las Vegas, NM",Msa,NM,193617,198025,199535
"McPherson, KS",Msa,KS,186515,187514,187209
"Sheridan, WY",Msa,WY,345049,353253,356456
"Washington Court House, OH",Msa,OH,150512,152706,153322
"Bennettsville, SC",Msa,SC,66263,67535,67631
"Van Wert, OH",Msa,OH,127437,129356,129845
"Merrill, WI",Msa,WI,162552,164626,164621
"Ludington, MI",Msa,MI,187621,189305,189042
"Middlesborough, KY",Msa,KY,68902,70134,70542
"Crescent City, CA",Msa,CA,332314,338361,342095
"North Vernon, IN",Msa,IN,156751,159246,160503
"Hays, KS",Msa,KS,202693,203745,204106
"Forrest City, AR",Msa,AR,61534,63034,63756
"Fort Morgan, CO",Msa,CO,295009,298906,300399
"Mineral Wells, TX",Msa,TX,172952,178643,181464
"Breckenridge, CO",Msa,CO,965463,988101,1015694
"Bastrop, LA",Msa,LA,63812,64964,65575
"Bainbridge, GA",Msa,GA,126942,130569,131964
"Wauchula, FL",Msa,FL,149831,154840,156913
"Hailey, ID",Msa,ID,732382,751602,755784
"Great Bend, KS",Msa,KS,92874,93402,93384
"Weatherford, OK",Msa,OK,137525,140171,140909
"Watertown, SD",Msa,SD,245329,250834,253335
"Thomaston, GA",Msa,GA,110035,113493,115223
"Mountain Home, ID",Msa,ID,291374,300344,303001
"Altus, OK",Msa,OK,81034,82722,83135
"Uvalde, TX",Msa,TX,164142,168234,169251
"Lexington, NE",Msa,NE,165857,168230,168696
"Boone, IA",Msa,IA,168852,171175,171892
"Toccoa, GA",Msa,GA,151335,156280,158628
"Summerville, GA",Msa,GA,104538,107941,109379
"Ottawa, KS",Msa,KS,175245,176699,176735
"New Ulm, MN",Msa,MN,189791,191374,190979
"Marshall, MN",Msa,MN,180823,182152,181667
"La Grande, OR",Msa,OR,260790,264002,263990
"Greensburg, IN",Msa,IN,189630,192808,194114
"Mexico, MO",Msa,MO,122340,124269,125233
"Moberly, MO",Msa,MO,119234,121133,122042
"The Dalles, OR",Msa,OR,330553,335110,335406
"Deming, NM",Msa,NM,135616,138823,139203
"Fallon, NV",Msa,NV,322506,332886,337437
"Fredericksburg, TX",Msa,TX,456379,469895,474768
"Magnolia, AR",Msa,AR,105638,108630,110046
"Campbellsville, KY",Msa,KY,128484,130993,131756
"Connersville, IN",Msa,IN,107319,109417,110464
"Dickinson, ND",Msa,ND,284023,287247,288036
"Spearfish, SD",Msa,SD,307332,315463,318987
"Heber, UT",Msa,UT,724553,737718,740751
"Steamboat Springs, CO",Msa,CO,890017,890701,900632
"Cordele, GA",Msa,GA,122501,125924,127027
"Marshall, MO",Msa,MO,128620,129846,130825
"Maryville, MO",Msa,MO,173928,176774,177642
"Arkadelphia, AR",Msa,AR,104581,107642,109097
"Liberal, KS",Msa,KS,127325,127777,128238
"Levelland, TX",Msa,TX,140516,143984,145266
"Wahpeton, ND",Msa,ND,162226,164312,164445
"Mitchell, SD",Msa,SD,202943,207578,209712
"Sterling, CO",Msa,CO,226643,229532,230157
"Pampa, TX",Msa,TX,76682,78378,78917
"Yankton, SD",Msa,SD,217223,222136,224193
"Williston, ND",Msa,ND,299627,304769,306433
"Oskaloosa, IA",Msa,IA,134335,136110,136712
"Brookings, OR",Msa,OR,424276,429363,429160
"Hood River, OR",Msa,OR,603511,610789,610335
"Beatrice, NE",Msa,NE,133467,135401,135809
"Borger, TX",Msa,TX,83903,85724,86206
"Raymondville, TX",Msa,TX,86375,88364,88760
"Elk City, OK",Msa,OK,129232,131718,132259
"Grenada, MS",Msa,MS,105901,107167,108238
"Dumas, TX",Msa,TX,156325,160075,161307
"Helena, AR",Msa,AR,33092,34125,34612
"Parsons, KS",Msa,KS,67169,67299,67050
"Port Lavaca, TX",Msa,TX,180903,185582,187160
"Worthington, MN",Msa,MN,165072,166194,166184
"Pierre, SD",Msa,SD,255374,261562,264211
"Evanston, WY",Msa,WY,247395,253624,255704
"Jamestown, ND",Msa,ND,185225,187720,188573
"Prineville, OR",Msa,OR,379639,385166,385772
"Guymon, OK",Msa,OK,122509,125561,126944
"Storm Lake, IA",Msa,IA,142706,144824,145615
"Woodward, OK",Msa,OK,124062,126275,126563
"Portales, NM",Msa,NM,121308,124085,124809
"Hereford, TX",Msa,TX,121995,125318,126507
"Othello, WA",Msa,WA,252594,255488,256762
"Los Alamos, NM",Msa,NM,384554,391559,394567
"Fitzgerald, GA",Msa,GA,95312,98167,99295
"Maysville, KY",Msa,KY,113633,115614,116292
"Atchison, KS",Msa,KS,114248,115150,115301
"Snyder, TX",Msa,TX,120081,122363,122574
"Fairfield, IA",Msa,IA,141320,143420,143974
"Spencer, IA",Msa,IA,146245,147904,147499
"Spirit Lake, IA",Msa,IA,281633,285915,287367
"Vineyard Haven, MA",Msa,MA,1073998,1084018,1082266
"Winnemucca, NV",Msa,NV,291388,299645,303278
"Sweetwater, TX",Msa,TX,91175,92086,91863
"Andrews, TX",Msa,TX,209449,213082,213733
"Zapata, TX",Msa,TX,113782,116501,117124
"Vermillion, SD",Msa,SD,218798,223332,225342
"Lamesa, TX",Msa,TX,94363,96568,97743
"Craig, CO",Msa,CO,252329,254712,254964
"Pecos, TX",Msa,TX,170010,172415,174162
"Vernon, TX",Msa,TX,84119,86741,87430
"Ketchikan, AK",Msa,AK,352067,356745,356976
